#GO	IC	Frequency
GO:0035449	6.803019751350531	1.5739112826670997e-07
GO:1990545	7.075865158564645	8.397206657785087e-08
GO:0033123	8.473805167236682	3.358882663114035e-09
GO:1901583	7.297713908181001	5.038323994671052e-08
GO:0050446	5.794072980728269	1.6066712383232893e-06
GO:0009895	4.172341094093383	6.724483091554298e-05
GO:1901563	6.0972282101801705	7.994140738211402e-07
GO:1901152	8.473805167236682	3.358882663114035e-09
GO:0005456	6.913458690996183	1.2205099070699956e-07
GO:0034833	8.69878852600695	2.000835913229501e-09
GO:0001850	7.107723918980451	7.803260061595053e-08
GO:1901579	8.473805167236682	3.358882663114035e-09
GO:0042783	5.020028307546241	9.5493034112332e-06
GO:1900396	8.473805167236682	3.358882663114035e-09
GO:0036485	8.473805167236682	3.358882663114035e-09
GO:0035373	6.982785182372151	1.0404346748793404e-07
GO:1900647	8.473805167236682	3.358882663114035e-09
GO:0003169	6.774835162900664	1.6794413315570175e-07
GO:0004475	4.215757824792729	6.084742095722235e-05
GO:0008267	8.69878852600695	2.000835913229501e-09
GO:0019194	7.026690668071233	9.403928792178654e-08
GO:0050613	5.6633587878224025	2.1709069658540083e-06
GO:0042160	7.269685184580758	5.374212260982456e-08
GO:0106227	6.741411407413714	1.8137966380815786e-07
GO:0050839	4.138917794560007	7.26243411424912e-05
GO:0038035	8.473805167236682	3.358882663114035e-09
GO:0047835	8.69878852600695	2.000835913229501e-09
GO:0098572	6.616463058616685	2.4184490440982265e-07
GO:0036394	8.1727751715727	6.71776532622807e-09
GO:1900337	8.473805167236682	3.358882663114035e-09
GO:0019807	5.503996768285026	3.1333090401173982e-06
GO:0000421	4.500245492658746	3.1604906317556666e-05
GO:0036384	6.441109951137766	3.6215130029453967e-07
GO:0047816	7.69878852600695	2.0008359132295007e-08
GO:0102515	8.69878852600695	2.000835913229501e-09
GO:0070594	7.397758530342969	4.0016718264590014e-08
GO:0032606	7.99668391251702	1.0076647989342104e-08
GO:0106349	6.667625193252795	2.1496849043929823e-07
GO:0140626	8.473805167236682	3.358882663114035e-09
GO:0045751	6.363215456937434	4.3329586354171047e-07
GO:0006531	4.549836202361211	2.8194461074179208e-05
GO:0002639	5.055172479882617	8.806990342684999e-06
GO:0032601	8.473805167236682	3.358882663114035e-09
GO:0048068	8.473805167236682	3.358882663114035e-09
GO:1900951	8.473805167236682	3.358882663114035e-09
GO:1901605	1.4188717950390575	0.03811783317095543
GO:0020009	6.924441914235994	1.1900304820165876e-07
GO:0009043	8.415803608070267	3.838808006505121e-09
GO:0002731	7.075865158564645	8.397206657785087e-08
GO:0045476	6.387445336561934	4.0978368489991224e-07
GO:0010118	5.616472670805414	2.418395517442105e-06
GO:0060358	6.387445336561934	4.0978368489991224e-07
GO:0061027	8.473805167236682	3.358882663114035e-09
GO:0047569	4.751796185258578	1.770939866799431e-05
GO:0031782	6.227496814948012	5.922474303159323e-07
GO:0008135	2.3519827129418514	0.004446489663344532
GO:0045958	8.1727751715727	6.71776532622807e-09
GO:0072490	6.549525881174801	2.821461437015789e-07
GO:0044076	8.473805167236682	3.358882663114035e-09
GO:0009007	3.4614534400733237	0.0003455783764252597
GO:0030090	8.69878852600695	2.000835913229501e-09
GO:0044252	8.69878852600695	2.000835913229501e-09
GO:0046718	2.389176348210049	0.00408153619143503
GO:0140925	8.473805167236682	3.358882663114035e-09
GO:0002168	6.042441403077695	9.068983190407894e-07
GO:0140777	8.096728534678988	8.003343652918004e-09
GO:0036070	4.929737122886407	1.175608932089912e-05
GO:0032445	8.473805167236682	3.358882663114035e-09
